INFO:RS_utils:{'epoch': 0, 'iteration': 77, 'progress': 0.01, 'loss': 2.4345, 'batch_size': 2, 'lr': 1.953125e-06}
INFO:RS_utils:{'epoch': 0, 'iteration': 78, 'progress': 0.01, 'loss': 2.0307, 'batch_size': 2, 'lr': 1.953125e-06}
INFO:RS_utils:{'epoch': 0, 'iteration': 79, 'progress': 0.01, 'loss': 2.0942, 'batch_size': 2, 'lr': 1.953125e-06}
INFO:RS_utils:{'epoch': 0, 'iteration': 80, 'progress': 0.01, 'loss': 1.8637, 'batch_size': 2, 'lr': 1.953125e-06}
INFO:RS_utils:{'epoch': 0, 'iteration': 81, 'progress': 0.01, 'loss': 2.2031, 'batch_size': 2, 'lr': 1.953125e-06}
INFO:RS_utils:{'epoch': 0, 'iteration': 82, 'progress': 0.01, 'loss': 2.1577, 'batch_size': 2, 'lr': 1.953125e-06}
INFO:RS_utils:{'epoch': 0, 'iteration': 83, 'progress': 0.01, 'loss': 2.7304, 'batch_size': 2, 'lr': 1.953125e-06}
INFO:RS_utils:{'epoch': 0, 'iteration': 84, 'progress': 0.01, 'loss': 0.789, 'batch_size': 2, 'lr': 1.953125e-06}
INFO:RS_utils:{'epoch': 0, 'iteration': 85, 'progress': 0.01, 'loss': 2.1376, 'batch_size': 2, 'lr': 1.953125e-06}
INFO:RS_utils:{'epoch': 0, 'iteration': 86, 'progress': 0.01, 'loss': 1.1464, 'batch_size': 2, 'lr': 1.953125e-06}
INFO:RS_utils:{'epoch': 0, 'iteration': 87, 'progress': 0.01, 'loss': 2.6796, 'batch_size': 2, 'lr': 1.953125e-06}
INFO:RS_utils:{'epoch': 0, 'iteration': 88, 'progress': 0.01, 'loss': 2.1171, 'batch_size': 2, 'lr': 1.953125e-06}
INFO:RS_utils:{'epoch': 0, 'iteration': 89, 'progress': 0.01, 'loss': 1.2646, 'batch_size': 2, 'lr': 1.953125e-06}
INFO:RS_utils:{'epoch': 0, 'iteration': 90, 'progress': 0.01, 'loss': 1.4251, 'batch_size': 2, 'lr': 1.953125e-06}
INFO:RS_utils:{'epoch': 0, 'iteration': 91, 'progress': 0.01, 'loss': 1.8879, 'batch_size': 2, 'lr': 1.953125e-06}
INFO:RS_utils:{'epoch': 0, 'iteration': 92, 'progress': 0.01, 'loss': 1.4707, 'batch_size': 2, 'lr': 1.953125e-06}
INFO:RS_utils:{'epoch': 0, 'iteration': 93, 'progress': 0.01, 'loss': 2.4082, 'batch_size': 2, 'lr': 1.953125e-06}
INFO:RS_utils:{'epoch': 0, 'iteration': 94, 'progress': 0.01, 'loss': 1.0026, 'batch_size': 2, 'lr': 1.953125e-06}
INFO:RS_utils:{'epoch': 0, 'iteration': 95, 'progress': 0.01, 'loss': 2.0588, 'batch_size': 2, 'lr': 1.953125e-06}
INFO:RS_utils:{'epoch': 0, 'iteration': 96, 'progress': 0.01, 'loss': 1.8696, 'batch_size': 2, 'lr': 1.953125e-06}
INFO:RS_utils:{'epoch': 0, 'iteration': 97, 'progress': 0.01, 'loss': 1.9204, 'batch_size': 2, 'lr': 1.953125e-06}
INFO:RS_utils:{'epoch': 0, 'iteration': 98, 'progress': 0.01, 'loss': 2.3632, 'batch_size': 2, 'lr': 1.953125e-06}
INFO:RS_utils:{'epoch': 0, 'iteration': 99, 'progress': 0.01, 'loss': 2.2919, 'batch_size': 2, 'lr': 1.953125e-06}
INFO:RS_utils:{'epoch': 0, 'iteration': 100, 'progress': 0.01, 'loss': 1.2017, 'batch_size': 2, 'lr': 1.953125e-06}
INFO:RS_utils:{'epoch': 0, 'iteration': 101, 'progress': 0.01, 'loss': 1.0133, 'batch_size': 2, 'lr': 1.953125e-06}
INFO:RS_utils:{'epoch': 0, 'iteration': 102, 'progress': 0.01, 'loss': 1.07, 'batch_size': 2, 'lr': 1.953125e-06}
INFO:RS_utils:{'epoch': 0, 'iteration': 103, 'progress': 0.01, 'loss': 0.0933, 'batch_size': 2, 'lr': 1.953125e-06}
